STDTCODE,PROPER ID,,
2332,IN.MP.BP,,
2333,IN.MP.SR,,
2334,IN.MP.RS,,
2335,IN.MP.BE,,
2336,IN.MP.HA,,
2337,IN.MP.HO,,
2338,IN.MP.KA,,
2339,IN.MP.JA,,
2340,IN.MP.NA,,
2341,IN.MP.DI,,
2342,IN.MP.ML,,
2343,IN.MP.CN,,
2344,IN.MP.SO,,
2345,IN.MP.BL,,
2401,IN.GJ.KA,,
2402,IN.GJ.BK,,
2403,IN.GJ.PA,,
2404,IN.GJ.MA,,
2405,IN.GJ.SK,,
2406,IN.GJ.GA,,
2407,IN.GJ.AH,,
2408,IN.GJ.SN,,
2409,IN.GJ.RA,,
2410,IN.GJ.JA,,
2411,IN.GJ.PO,,
2412,IN.GJ.JU,,
2413,IN.GJ.AM,,
2414,IN.GJ.BV,,
2415,IN.GJ.AN,,
2416,IN.GJ.KH,,
2417,IN.GJ.PM,,
2418,IN.GJ.DA,,
2419,IN.GJ.VD,,
2420,IN.GJ.NR,,
2421,IN.GJ.BR,,
2422,IN.GJ.ST,,
2423,IN.GJ.DG,,
2424,IN.GJ.NV,,
2425,IN.GJ.VL,,
2501,IN.DD.DA,,
2502,IN.GJ.JU,,
2601,IN.DN.DN,,
2701,IN.MH.NB,,
2702,IN.MH.DH,,
2703,IN.MH.JG,,
2704,IN.MH.BU,,
2705,IN.MH.AK,,
2706,IN.MH.WS,,
2707,IN.MH.AM,,
2708,IN.MH.WR,,
2709,IN.MH.NG,,
2710,IN.MH.BH,,
2711,IN.MH.GO,,
2712,IN.MH.GA,,
2713,IN.MH.CH,,
2714,IN.MH.YA,,
2715,IN.MH.ND,,
2716,IN.MH.HI,,
2717,IN.MH.PA,,
2718,IN.MH.JN,,
2719,IN.BR.AU,,
2720,IN.MH.NS,,
2721,IN.MH.TH,,
2722,IN.MH.MC,,
2723,IN.MH.MC,,
2724,IN.CT.RG,,
2725,IN.MH.PU,,
2726,IN.MH.AH,,
2727,IN.MH.BI,,
2728,IN.MH.LA,,
2729,IN.MH.OS,,
2730,IN.MH.SO,,
2731,IN.MH.ST,,
2732,IN.MH.RT,,
2733,IN.MH.SI,,
2734,IN.MH.KO,,
2735,IN.MH.SN,,
2801,IN.AP.AD,,
2802,IN.AP.NI,,
2803,IN.AP.KA,,
2804,IN.AP.ME,,
2805,IN.AP.HY,,
2806,IN.AP.RA,,
2807,IN.AP.MA,,
2808,IN.AP.NA,,
2809,IN.AP.WA,,
2810,IN.AP.KH,,
2811,IN.AP.SR,,
2812,IN.AP.VZ,,
2813,IN.AP.VS,,
2814,IN.AP.EG,,
2815,IN.AP.WG,,
2816,IN.AP.KR,,
2817,IN.AP.GU,,
2818,IN.AP.PR,,
2819,IN.AP.NE,,
2820,IN.AP.CU,,
2821,IN.AP.KU,,
2822,IN.AP.AN,,
2823,IN.AP.CH,,
2901,IN.KA.BG,,
2902,IN.KA.BK,,
2903,IN.KA.BJ,,
2904,IN.KA.GU,,
2905,IN.KA.BD,,
2906,IN.KA.RA,,
2907,IN.KA.KP,,
2908,IN.KA.GA,,
2909,IN.KA.DH,,
2910,IN.KA.UK,,
2911,IN.KA.HV,,
2912,IN.KA.BL,,
2913,IN.KA.CT,,
2914,IN.KA.DA,,
2915,IN.KA.SH,,
2916,IN.KA.UD,,
2917,IN.KA.CK,,khabir nadar
2918,IN.KA.TU,,
2919,IN.KA.KL,,
2920,IN.KA.BR,,
2921,IN.KA.BR,,
2922,IN.KA.MA,,
2923,IN.KA.HS,,
2924,IN.KA.DK,,
2925,IN.KA.KD,,
2926,IN.KA.MY,,
2927,IN.KA.CJ,,
3001,IN.GA.NG,,
3002,IN.GA.SG,,
3101,,,
3201,IN.KL.KS,,
3202,IN.KL.KN,,
3203,IN.KL.WA,,
3204,IN.KL.KZ,,
3205,IN.KL.MA,,
3206,IN.KL.PL,,
3207,IN.KL.TS,,
3208,IN.KL.ER,,
3209,IN.KL.ID,,
3210,IN.KL.KT,,
3211,IN.KL.AL,,
3212,IN.KL.PT,,
3213,IN.KL.KL,,
3214,IN.KL.TV,,
3301,IN.TN.TL,,
3302,IN.TN.CH,,
3303,IN.TN.KC,,
3304,IN.TN.VE,,
3305,IN.TN.DH,,
